epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.07258,1.69602,2.88354,1.67668,0.95836,0.55646,0.79959,0.51661,1.11694,2.06548,1.06589,0.0006,0.0006,0.0006
2,8.51024,1.34946,1.30534,1.40521,0.5496,0.74019,0.63374,0.32083,1.50483,1.93982,1.52768,0.00125622,0.00125622,0.00125622
3,10.8467,1.24247,1.03818,1.36702,0.13379,0.35165,0.11396,0.03249,2.31745,5.13083,2.42173,0.00190143,0.00190143,0.00190143
4,13.2644,1.21711,0.97233,1.31364,0.21066,0.42857,0.20413,0.07115,2.0065,3.14115,2.18748,0.0019505,0.0019505,0.0019505
5,16.4533,1.15945,0.90319,1.29279,0.12565,0.3033,0.11171,0.04041,1.78643,4.31005,1.71415,0.001934,0.001934,0.001934
6,19.0677,1.09611,0.84714,1.23203,0.00573,0.27033,0.00163,0.00029,3.62416,18.075,4.8254,0.0019175,0.0019175,0.0019175
7,21.3709,1.11443,0.83593,1.2361,0.0257,0.2022,0.01608,0.00331,2.92905,3.92597,2.60696,0.001901,0.001901,0.001901
8,23.7981,1.0932,0.80572,1.21538,0.47516,0.50549,0.49104,0.25178,1.61746,1.83324,1.47744,0.0018845,0.0018845,0.0018845
9,26.0896,1.09066,0.79777,1.21243,0.08814,0.51648,0.07848,0.03182,1.64446,3.36858,1.57579,0.001868,0.001868,0.001868
10,28.6246,1.01938,0.75378,1.19626,0.17509,0.57582,0.15582,0.08249,1.3787,2.66138,1.41889,0.0018515,0.0018515,0.0018515
11,31.8767,0.985,0.712,1.16561,0.78891,0.75824,0.8366,0.5879,1.02703,1.0838,1.12328,0.001835,0.001835,0.001835
12,34.2081,0.98637,0.69981,1.16047,0.88916,0.82198,0.91986,0.65332,0.97093,0.86031,1.06825,0.0018185,0.0018185,0.0018185
13,36.5051,0.96434,0.67138,1.16029,0.97461,0.93407,0.98049,0.72476,0.96286,0.65557,1.04767,0.001802,0.001802,0.001802
14,38.8054,0.9933,0.68001,1.15653,0.94796,0.9609,0.98214,0.7058,1.07369,0.62188,1.09609,0.0017855,0.0017855,0.0017855
15,41.0251,1.01519,0.67381,1.16346,0.96677,0.95604,0.98091,0.7638,0.82497,0.61743,1.0085,0.001769,0.001769,0.001769
16,44.6843,0.97337,0.6631,1.16038,0.96046,0.9609,0.98432,0.7661,0.81864,0.57402,1.00123,0.0017525,0.0017525,0.0017525
17,47.0049,0.95596,0.65862,1.14001,0.94551,0.95335,0.97947,0.79256,0.73575,0.59111,0.98603,0.001736,0.001736,0.001736
18,49.2819,0.96978,0.65542,1.15383,0.95621,0.96264,0.98337,0.79846,0.70905,0.51435,0.97354,0.0017195,0.0017195,0.0017195
19,51.5961,0.93324,0.63129,1.12744,0.94392,0.96182,0.97981,0.81618,0.66302,0.53732,0.96109,0.001703,0.001703,0.001703
20,53.8841,0.9068,0.61116,1.12774,0.95211,0.96119,0.98376,0.8238,0.64784,0.53488,0.9495,0.0016865,0.0016865,0.0016865
21,56.9779,0.9021,0.60139,1.11373,0.9544,0.9659,0.97191,0.78189,0.72993,0.57509,0.98802,0.00167,0.00167,0.00167
22,59.6849,0.91583,0.59733,1.12374,0.96445,0.96703,0.98813,0.82327,0.67506,0.53728,0.99148,0.0016535,0.0016535,0.0016535
23,62.4297,0.88595,0.58349,1.10762,0.94651,0.98022,0.98544,0.77368,0.85087,0.53735,1.01263,0.001637,0.001637,0.001637
24,65.3487,0.87584,0.5794,1.10456,0.90134,0.92358,0.96548,0.68868,1.08713,0.70657,1.11778,0.0016205,0.0016205,0.0016205
25,67.6613,0.89494,0.59027,1.11549,0.92882,0.84835,0.95206,0.74203,0.80763,0.65087,1.0495,0.001604,0.001604,0.001604
26,70.8115,0.89859,0.59253,1.12045,0.87302,0.86374,0.9326,0.68849,0.87988,0.76131,1.1369,0.0015875,0.0015875,0.0015875
27,73.3904,0.87354,0.5792,1.09486,0.86827,0.90549,0.93761,0.73141,0.74736,0.68285,1.06229,0.001571,0.001571,0.001571
28,75.6367,0.83993,0.55371,1.09703,0.95522,0.93765,0.97993,0.81065,0.69824,0.58312,1.02843,0.0015545,0.0015545,0.0015545
29,77.8766,0.86197,0.55446,1.10168,0.94263,0.93884,0.97389,0.79126,0.72536,0.56936,0.99145,0.001538,0.001538,0.001538
30,80.0979,0.88818,0.57766,1.12497,0.92292,0.7956,0.92323,0.70263,0.89135,0.782,1.13894,0.0015215,0.0015215,0.0015215
31,82.5444,0.89916,0.56761,1.09819,0.9708,0.94987,0.98266,0.80708,0.68008,0.47159,0.99809,0.001505,0.001505,0.001505
32,85.8885,0.88046,0.5578,1.09822,0.95918,0.92968,0.97767,0.79052,0.74336,0.4819,0.98632,0.0014885,0.0014885,0.0014885
33,88.0643,0.84069,0.54513,1.09359,0.96964,0.96044,0.98631,0.80505,0.72649,0.45744,0.97113,0.001472,0.001472,0.001472
34,90.2848,0.85325,0.54743,1.09367,0.96285,0.96825,0.98594,0.79607,0.73519,0.47888,0.97043,0.0014555,0.0014555,0.0014555
35,92.495,0.88007,0.55721,1.10993,0.9833,0.93187,0.98509,0.84895,0.59909,0.43742,0.94907,0.001439,0.001439,0.001439
36,94.706,0.87064,0.54751,1.09512,0.95431,0.96703,0.98811,0.83106,0.63633,0.42406,0.9458,0.0014225,0.0014225,0.0014225
37,97.6981,0.83951,0.52783,1.08505,0.97618,0.96264,0.98802,0.84299,0.60233,0.4391,0.94384,0.001406,0.001406,0.001406
38,100.359,0.82738,0.52863,1.08018,0.96495,0.9681,0.9886,0.82582,0.66753,0.44685,0.95354,0.0013895,0.0013895,0.0013895
39,102.49,0.85053,0.53741,1.09128,0.95891,0.97143,0.98257,0.79832,0.74756,0.47096,0.99156,0.001373,0.001373,0.001373
40,104.606,0.83951,0.52286,1.08526,0.97644,0.96703,0.98967,0.81965,0.66979,0.42679,0.95759,0.0013565,0.0013565,0.0013565
41,106.794,0.83431,0.51511,1.08103,0.97091,0.96923,0.98855,0.84589,0.61398,0.4204,0.97788,0.00134,0.00134,0.00134
42,108.984,0.8313,0.5224,1.08041,0.9639,0.97363,0.98998,0.84213,0.61781,0.43688,0.98445,0.0013235,0.0013235,0.0013235
43,112.371,0.85148,0.5227,1.09541,0.94622,0.9667,0.98642,0.82249,0.65066,0.43771,0.97713,0.001307,0.001307,0.001307
44,114.578,0.88393,0.53862,1.1081,0.97083,0.95092,0.98721,0.82848,0.64708,0.43049,0.97173,0.0012905,0.0012905,0.0012905
45,116.737,0.86834,0.53285,1.10185,0.96087,0.97157,0.98712,0.80429,0.75162,0.44123,0.98002,0.001274,0.001274,0.001274
46,118.895,0.84561,0.51028,1.09077,0.96037,0.96703,0.98629,0.81647,0.69668,0.4276,0.96318,0.0012575,0.0012575,0.0012575
47,121.071,0.80036,0.48808,1.0662,0.96326,0.97954,0.98613,0.7935,0.78012,0.43529,0.99551,0.001241,0.001241,0.001241
48,123.917,0.82906,0.50741,1.08293,0.96271,0.96449,0.98376,0.76042,0.89262,0.48886,1.01692,0.0012245,0.0012245,0.0012245
49,126.706,0.8033,0.50237,1.07713,0.95743,0.98901,0.98846,0.83326,0.64625,0.42346,0.96732,0.001208,0.001208,0.001208
50,128.92,0.80118,0.49288,1.06774,0.9646,0.97802,0.9869,0.81758,0.6937,0.43109,0.97342,0.0011915,0.0011915,0.0011915
51,131.125,0.8103,0.4801,1.07254,0.97951,0.96264,0.9876,0.7823,0.81457,0.43084,1.00089,0.001175,0.001175,0.001175
52,133.337,0.8125,0.48499,1.07528,0.97487,0.96264,0.98671,0.84726,0.59765,0.38766,0.96411,0.0011585,0.0011585,0.0011585
53,135.522,0.78852,0.48866,1.0655,0.96926,0.96923,0.98961,0.84565,0.60862,0.38866,0.95165,0.001142,0.001142,0.001142
54,138.886,0.7928,0.4838,1.07225,0.98003,0.9706,0.98869,0.80764,0.74845,0.41718,0.98069,0.0011255,0.0011255,0.0011255
55,141.138,0.8087,0.47746,1.07019,0.97561,0.96718,0.98683,0.85339,0.57768,0.38463,0.96476,0.001109,0.001109,0.001109
56,143.341,0.78497,0.46967,1.06215,0.97151,0.96703,0.98682,0.8567,0.58297,0.38817,0.9432,0.0010925,0.0010925,0.0010925
57,145.749,0.79303,0.47213,1.07563,0.96513,0.9734,0.98752,0.84189,0.62428,0.39097,0.93025,0.001076,0.001076,0.001076
58,148.055,0.79529,0.4844,1.05753,0.98051,0.96484,0.98721,0.86194,0.55836,0.38369,0.93762,0.0010595,0.0010595,0.0010595
59,151.108,0.79049,0.47937,1.0558,0.97323,0.95604,0.98459,0.8433,0.59648,0.41763,0.94298,0.001043,0.001043,0.001043
60,153.796,0.80102,0.48219,1.06955,0.96919,0.96779,0.9868,0.86031,0.55773,0.3899,0.94913,0.0010265,0.0010265,0.0010265
61,156.072,0.77177,0.47105,1.04814,0.96773,0.96923,0.9884,0.83997,0.61599,0.39388,0.95724,0.00101,0.00101,0.00101
62,158.42,0.7811,0.46224,1.05617,0.97268,0.96264,0.98583,0.82503,0.65353,0.39556,0.97263,0.0009935,0.0009935,0.0009935
63,160.962,0.75886,0.45759,1.05212,0.97148,0.97321,0.98794,0.84197,0.61065,0.39228,0.96073,0.000977,0.000977,0.000977
64,163.789,0.76984,0.46294,1.06354,0.96722,0.97288,0.98895,0.84469,0.6254,0.37554,0.95691,0.0009605,0.0009605,0.0009605
65,166.804,0.74816,0.46732,1.04628,0.96931,0.97177,0.98762,0.83951,0.6378,0.37958,0.94849,0.000944,0.000944,0.000944
